,CHUNK_SIZE,CHUNK_SIZE,TIME_TAKEN
,1,18118,11.739
TABLE,2,9059,12.3799367
TABLE,4,4529,13.88722706
TABLE,8,2264,6.406897068
TABLE,16,1132,8.344108582
TABLE,32,566,7.824364901
TABLE,64,283,11.67737603
TABLE,128,141,12.39185095
TABLE,256,70,10.68064737
